TID,Date,Service 1,Service 2,Service 3,Service 4,TotalPrice
11053,03/05/2025,Car Wash,Tire Shine,,,533000
11054,23/03/2025,Car Wash,Tire Shine,,,602000
11055,04/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,188000
11056,20/08/2024,Car Wash,Polishing,Tire Replacement,,113000
11057,17/09/2024,Waxing,Polishing,Car Wash,,244000
11058,18/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,878000
11059,06/01/2025,Waxing,Polishing,Car Wash,,541000
11060,22/05/2024,Waxing,Polishing,Car Wash,,85000
11061,02/07/2024,Waxing,Polishing,Car Wash,,623000
11062,09/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,259000
11063,17/06/2024,Deodorizing,Waxing,Car Wash,,881000
11064,17/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,393000
11065,24/12/2024,Car Wash,Underbody Wash,,,253000
11066,21/12/2024,Car Wash,Underbody Wash,,,291000
11067,15/05/2024,Car Wash,Underbody Wash,,,642000
11068,05/12/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,576000
11069,31/12/2024,Waxing,Polishing,Car Wash,,414000
11070,17/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,755000
11071,08/03/2025,Deodorizing,Waxing,Car Wash,,252000
11072,22/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,128000
11073,28/04/2025,Car Wash,Polishing,Tire Replacement,,54000
11074,29/03/2025,Waxing,Polishing,Car Wash,,425000
11075,07/08/2024,Deodorizing,Waxing,Car Wash,,642000
11076,27/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,439000
11077,07/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,185000
11078,19/02/2025,Waxing,Polishing,Car Wash,,326000
11079,18/05/2024,Car Wash,Underbody Wash,,,597000
11080,31/05/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,815000
11081,14/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,493000
11082,28/08/2024,Waxing,Polishing,Car Wash,,275000
11083,30/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,621000
11084,20/05/2024,Car Wash,Polishing,Tire Replacement,,197000
11085,04/04/2025,Car Wash,Tire Shine,,,269000
11086,02/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,674000
11087,13/10/2024,Car Wash,Polishing,Tire Replacement,,474000
11088,01/06/2024,Car Wash,Tire Shine,,,292000
11089,10/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,956000
11090,30/06/2024,Waxing,Polishing,Car Wash,,479000
11091,14/07/2024,Car Wash,Polishing,Tire Replacement,,595000
11092,22/09/2024,Car Wash,Tire Shine,,,293000
11093,10/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,365000
11094,18/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,276000
11095,24/05/2024,Car Wash,Tire Shine,,,248000
11096,22/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,293000
11097,15/02/2025,Waxing,Polishing,Car Wash,,658000
11098,01/03/2025,Deodorizing,Interior Vacuuming,Car Wash,,125000
11099,05/12/2024,Car Wash,Underbody Wash,,,177000
11100,15/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,251000
11101,20/01/2025,Car Wash,Underbody Wash,,,430000
11102,23/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,233000
11103,16/12/2024,Deodorizing,Waxing,Car Wash,,53000
11104,26/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,449000
11105,09/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,255000
11106,06/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,633000
11107,23/01/2025,Car Wash,Underbody Wash,,,772000
11108,06/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,585000
11109,25/01/2025,Car Wash,Underbody Wash,,,350000
11110,27/05/2024,Waxing,Polishing,Car Wash,,913000
11111,05/12/2024,Car Wash,Underbody Wash,,,245000
11112,27/11/2024,Car Wash,Underbody Wash,,,524000
11113,21/03/2025,Waxing,Polishing,Car Wash,,927000
11114,01/03/2025,Car Wash,Underbody Wash,,,509000
11115,21/06/2024,Car Wash,Tire Shine,,,358000
11116,27/12/2024,Deodorizing,Waxing,Car Wash,,454000
11117,21/09/2024,Deodorizing,Waxing,Car Wash,,425000
11118,29/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,622000
11119,03/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,594000
11120,24/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,258000
11121,12/05/2024,Waxing,Polishing,Car Wash,,146000
11122,04/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,266000
11123,08/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,461000
11124,25/09/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,887000
11125,25/11/2024,Car Wash,Tire Shine,,,278000
11126,29/08/2024,Car Wash,Polishing,Tire Replacement,,680000
11127,03/03/2025,Car Wash,Tire Shine,,,231000
11128,12/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,82000
11129,30/04/2025,Waxing,Polishing,Car Wash,,434000
11130,13/04/2025,Waxing,Polishing,Car Wash,,666000
11131,19/01/2025,Car Wash,Tire Shine,,,457000
11132,11/07/2024,Car Wash,Polishing,Tire Replacement,,91000
11133,10/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,738000
11134,28/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,585000
11135,22/11/2024,Deodorizing,Interior Vacuuming,Car Wash,,512000
11136,25/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,123000
11137,06/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,731000
11138,29/05/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,564000
11139,24/10/2024,Car Wash,Polishing,Tire Replacement,,156000
11140,22/06/2024,Car Wash,Underbody Wash,,,252000
11141,22/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,262000
11142,04/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,649000
11143,16/01/2025,Deodorizing,Waxing,Car Wash,,81000
11144,24/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,216000
11145,15/03/2025,Car Wash,Tire Shine,,,170000
11146,04/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,654000
11147,15/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,614000
11148,13/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,365000
11149,07/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,244000
11150,24/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,611000
11151,10/10/2024,Deodorizing,Waxing,Car Wash,,810000
11152,30/03/2025,Waxing,Polishing,Car Wash,,416000
11153,28/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,255000
11154,13/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,298000
11155,11/07/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,246000
11156,21/05/2024,Car Wash,Underbody Wash,,,850000
11157,31/07/2024,Waxing,Polishing,Car Wash,,161000
11158,17/07/2024,Car Wash,Tire Shine,,,937000
11159,15/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,535000
11160,31/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,976000
11161,17/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,328000
11162,25/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,633000
11163,11/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,580000
11164,21/01/2025,Car Wash,Polishing,Tire Replacement,,819000
11165,26/06/2024,Waxing,Polishing,Car Wash,,122000
11166,08/08/2024,Car Wash,Underbody Wash,,,140000
11167,23/07/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,206000
11168,09/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,755000
11169,13/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,660000
11170,16/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,373000
11171,25/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,675000
11172,28/01/2025,Car Wash,Underbody Wash,,,784000
11173,01/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,332000
11174,20/02/2025,Waxing,Polishing,Car Wash,,167000
11175,27/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,460000
11176,03/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,396000
11177,02/12/2024,Car Wash,Tire Shine,,,534000
11178,16/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,465000
11179,12/05/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,442000
11180,29/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,408000
11181,06/09/2024,Car Wash,Polishing,Tire Replacement,,420000
11182,25/07/2024,Car Wash,Underbody Wash,,,490000
11183,18/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,764000
11184,21/03/2025,Car Wash,Underbody Wash,,,238000
11185,22/02/2025,Car Wash,Polishing,Tire Replacement,,251000
11186,25/02/2025,Car Wash,Polishing,Tire Replacement,,420000
11187,26/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,607000
11188,11/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,455000
11189,21/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,427000
11190,01/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,760000
11191,10/10/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,148000
11192,05/05/2025,Deodorizing,Interior Vacuuming,Car Wash,,691000
11193,22/07/2024,Car Wash,Tire Shine,,,981000
11194,29/11/2024,Car Wash,Polishing,Tire Replacement,,764000
11195,23/12/2024,Deodorizing,Waxing,Car Wash,,283000
11196,17/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,62000
11197,13/01/2025,Car Wash,Tire Shine,,,436000
11198,08/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,669000
11199,14/08/2024,Waxing,Polishing,Car Wash,,658000
11200,11/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,457000
11201,24/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,156000
11202,30/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,129000
11203,13/11/2024,Car Wash,Tire Shine,,,378000
11204,12/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,287000
11205,17/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,300000
11206,21/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,595000
11207,11/11/2024,Deodorizing,Interior Vacuuming,Car Wash,,621000
11208,31/03/2025,Car Wash,Polishing,Tire Replacement,,576000
11209,12/05/2024,Car Wash,Tire Shine,,,452000
11210,17/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,55000
11211,29/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,422000
11212,03/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,665000
11213,16/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,301000
11214,02/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,197000
11215,18/08/2024,Car Wash,Polishing,Tire Replacement,,508000
11216,30/04/2025,Car Wash,Polishing,Tire Replacement,,100000
11217,25/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,824000
11218,15/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,857000
11219,23/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,658000
11220,14/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,525000
11221,22/03/2025,Deodorizing,Interior Vacuuming,Car Wash,,335000
11222,10/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,83000
11223,09/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,167000
11224,17/07/2024,Car Wash,Tire Shine,,,335000
11225,13/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,748000
11226,13/11/2024,Waxing,Polishing,Car Wash,,200000
11227,29/09/2024,Car Wash,Tire Shine,,,617000
11228,13/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,231000
11229,16/01/2025,Waxing,Polishing,Car Wash,,110000
11230,13/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,737000
11231,04/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,526000
11232,22/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,287000
11233,29/03/2025,Car Wash,Underbody Wash,,,316000
11234,21/05/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,273000
11235,01/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,53000
11236,10/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,241000
11237,04/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,580000
11238,14/07/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,181000
11239,19/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,451000
11240,08/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,54000
11241,10/07/2024,Car Wash,Tire Shine,,,774000
11242,02/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,473000
11243,10/10/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,918000
11244,02/01/2025,Car Wash,Polishing,Tire Replacement,,623000
11245,25/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,425000
11246,18/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,419000
11247,18/11/2024,Car Wash,Underbody Wash,,,80000
11248,16/08/2024,Car Wash,Underbody Wash,,,375000
11249,25/12/2024,Car Wash,Tire Shine,,,753000
11250,08/01/2025,Car Wash,Underbody Wash,,,682000
11251,08/10/2024,Waxing,Polishing,Car Wash,,382000
11252,28/01/2025,Car Wash,Tire Shine,,,496000
11253,03/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,495000
11254,16/03/2025,Waxing,Polishing,Car Wash,,175000
11255,07/03/2025,Deodorizing,Waxing,Car Wash,,334000
11256,22/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,212000
11257,15/12/2024,Car Wash,Polishing,Tire Replacement,,475000
11258,23/07/2024,Car Wash,Underbody Wash,,,394000
11259,28/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,346000
11260,04/08/2024,Car Wash,Underbody Wash,,,616000
11261,29/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,491000
11262,28/01/2025,Car Wash,Polishing,Tire Replacement,,291000
11263,18/01/2025,Car Wash,Underbody Wash,,,532000
11264,03/06/2024,Waxing,Polishing,Car Wash,,454000
11265,16/10/2024,Waxing,Polishing,Car Wash,,527000
11266,10/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,156000
11267,04/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,433000
11268,04/07/2024,Car Wash,Polishing,Tire Replacement,,149000
11269,03/04/2025,Car Wash,Underbody Wash,,,232000
11270,11/07/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,246000
11271,26/06/2024,Car Wash,Tire Shine,,,449000
11272,22/11/2024,Car Wash,Underbody Wash,,,219000
11273,21/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,238000
11274,14/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,532000
11275,12/10/2024,Waxing,Polishing,Car Wash,,801000
11276,02/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,309000
11277,17/11/2024,Car Wash,Polishing,Tire Replacement,,790000
11278,11/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,149000
11279,27/07/2024,Waxing,Polishing,Car Wash,,598000
11280,31/01/2025,Car Wash,Underbody Wash,,,316000
11281,15/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,643000
11282,21/08/2024,Waxing,Polishing,Car Wash,,675000
11283,18/02/2025,Deodorizing,Interior Vacuuming,Car Wash,,434000
11284,01/05/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,452000
11285,05/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,194000
11286,26/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,179000
11287,04/01/2025,Deodorizing,Waxing,Car Wash,,493000
11288,07/02/2025,Waxing,Polishing,Car Wash,,369000
11289,28/09/2024,Deodorizing,Waxing,Car Wash,,612000
11290,08/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,303000
11291,17/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,376000
11292,08/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,71000
11293,09/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,266000
11294,23/10/2024,Deodorizing,Waxing,Car Wash,,701000
11295,04/05/2025,Waxing,Polishing,Car Wash,,586000
11296,24/02/2025,Deodorizing,Interior Vacuuming,Car Wash,,263000
11297,08/12/2024,Deodorizing,Waxing,Car Wash,,251000
11298,15/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,884000
11299,11/11/2024,Car Wash,Polishing,Tire Replacement,,607000
11300,17/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,92000
11301,25/02/2025,Deodorizing,Waxing,Car Wash,,583000
11302,17/11/2024,Car Wash,Polishing,Tire Replacement,,359000
11303,27/02/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,64000
11304,13/10/2024,Waxing,Polishing,Car Wash,,748000
11305,07/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,557000
11306,14/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,846000
11307,27/07/2024,Car Wash,Underbody Wash,,,795000
11308,06/06/2024,Car Wash,Tire Shine,,,623000
11309,26/07/2024,Car Wash,Underbody Wash,,,551000
11310,30/07/2024,Car Wash,Tire Shine,,,106000
11311,22/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,1016000
11312,03/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,773000
11313,19/02/2025,Deodorizing,Waxing,Car Wash,,835000
11314,01/03/2025,Car Wash,Underbody Wash,,,213000
11315,10/09/2024,Car Wash,Underbody Wash,,,233000
11316,11/01/2025,Deodorizing,Waxing,Car Wash,,768000
11317,27/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,377000
11318,26/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,730000
11319,17/01/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,210000
11320,09/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,393000
11321,06/03/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,193000
11322,02/11/2024,Waxing,Polishing,Car Wash,,588000
11323,25/02/2025,Car Wash,Tire Shine,,,371000
11324,25/02/2025,Deodorizing,Waxing,Car Wash,,499000
11325,11/06/2024,Car Wash,Polishing,Tire Replacement,,217000
11326,06/09/2024,Waxing,Polishing,Car Wash,,561000
11327,06/03/2025,Waxing,Polishing,Car Wash,,561000
11328,09/09/2024,Waxing,Polishing,Car Wash,,520000
11329,09/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,595000
11330,17/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,59000
11331,26/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,454000
11332,20/04/2025,Waxing,Polishing,Car Wash,,298000
11333,11/02/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,998000
11334,20/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,487000
11335,12/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,120000
11336,03/01/2025,Car Wash,Underbody Wash,,,262000
11337,21/02/2025,Deodorizing,Waxing,Car Wash,,635000
11338,06/06/2024,Waxing,Polishing,Car Wash,,66000
11339,01/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,141000
11340,05/10/2024,Car Wash,Tire Shine,,,604000
11341,15/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,84000
11342,31/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,759000
11343,09/11/2024,Car Wash,Polishing,Tire Replacement,,377000
11344,13/05/2024,Car Wash,Underbody Wash,,,540000
11345,02/11/2024,Deodorizing,Waxing,Car Wash,,210000
11346,25/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,613000
11347,23/07/2024,Car Wash,Tire Shine,,,635000
11348,08/09/2024,Car Wash,Underbody Wash,,,575000
11349,24/02/2025,Deodorizing,Waxing,Car Wash,,548000
11350,24/09/2024,Deodorizing,Waxing,Car Wash,,466000
11351,05/05/2025,Car Wash,Polishing,Tire Replacement,,270000
11352,17/05/2024,Car Wash,Tire Shine,,,376000
11353,05/10/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,496000
11354,15/07/2024,Deodorizing,Waxing,Car Wash,,191000
11355,26/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,519000
11356,21/10/2024,Deodorizing,Waxing,Car Wash,,297000
11357,03/04/2025,Car Wash,Tire Shine,,,103000
11358,12/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,279000
11359,23/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,782000
11360,18/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,179000
11361,21/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,99000
11362,19/04/2025,Deodorizing,Waxing,Car Wash,,269000
11363,19/07/2024,Car Wash,Polishing,Tire Replacement,,426000
11364,15/07/2024,Car Wash,Tire Shine,,,422000
11365,31/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,327000
11366,18/01/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,878000
11367,06/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,220000
11368,03/11/2024,Car Wash,Tire Shine,,,441000
11369,28/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,629000
11370,06/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,772000
11371,10/05/2024,Car Wash,Polishing,Tire Replacement,,166000
11372,20/12/2024,Waxing,Polishing,Car Wash,,351000
11373,10/01/2025,Car Wash,Polishing,Tire Replacement,,80000
11374,22/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,609000
11375,28/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,604000
11376,26/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,557000
11377,03/04/2025,Deodorizing,Waxing,Car Wash,,239000
11378,26/10/2024,Car Wash,Polishing,Tire Replacement,,774000
11379,22/09/2024,Deodorizing,Interior Vacuuming,Car Wash,,267000
11380,27/03/2025,Car Wash,Underbody Wash,,,185000
11381,25/05/2024,Car Wash,Underbody Wash,,,616000
11382,14/11/2024,Car Wash,Polishing,Tire Replacement,,217000
11383,20/08/2024,Car Wash,Underbody Wash,,,536000
11384,24/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,543000
11385,17/11/2024,Waxing,Polishing,Car Wash,,130000
11386,02/02/2025,Waxing,Polishing,Car Wash,,290000
11387,30/07/2024,Waxing,Polishing,Car Wash,,344000
11388,02/03/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,492000
11389,17/06/2024,Deodorizing,Waxing,Car Wash,,114000
11390,07/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,125000
11391,20/06/2024,Car Wash,Tire Shine,,,455000
11392,17/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,189000
11393,07/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,912000
11394,21/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,540000
11395,06/02/2025,Car Wash,Underbody Wash,,,500000
11396,21/06/2024,Car Wash,Polishing,Tire Replacement,,460000
11397,30/10/2024,Car Wash,Underbody Wash,,,632000
11398,12/01/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,377000
11399,31/07/2024,Car Wash,Tire Shine,,,266000
11400,17/02/2025,Car Wash,Underbody Wash,,,720000
11401,01/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,670000
11402,16/10/2024,Car Wash,Underbody Wash,,,622000
11403,10/05/2024,Deodorizing,Waxing,Car Wash,,549000
11404,30/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,553000
11405,14/04/2025,Waxing,Polishing,Car Wash,,718000
11406,14/07/2024,Car Wash,Tire Shine,,,95000
11407,13/08/2024,Car Wash,Underbody Wash,,,382000
11408,21/01/2025,Waxing,Polishing,Car Wash,,626000
11409,21/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,854000
11410,01/11/2024,Deodorizing,Interior Vacuuming,Car Wash,,309000
11411,30/11/2024,Car Wash,Tire Shine,,,577000
11412,21/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,691000
11413,01/12/2024,Car Wash,Underbody Wash,,,270000
11414,02/06/2024,Deodorizing,Waxing,Car Wash,,96000
11415,27/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,713000
11416,23/03/2025,Car Wash,Underbody Wash,,,180000
11417,08/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,250000
11418,17/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,93000
11419,31/10/2024,Car Wash,Polishing,Tire Replacement,,65000
11420,28/11/2024,Deodorizing,Waxing,Car Wash,,156000
11421,14/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,88000
11422,28/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,464000
11423,27/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,272000
11424,12/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,301000
11425,05/12/2024,Car Wash,Tire Shine,,,447000
11426,08/03/2025,Deodorizing,Waxing,Car Wash,,366000
11427,27/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,783000
11428,30/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,696000
11429,20/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,654000
11430,31/10/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,129000
11431,30/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,537000
11432,09/02/2025,Car Wash,Tire Shine,,,536000
11433,06/05/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,549000
11434,14/04/2025,Waxing,Polishing,Car Wash,,230000
11435,15/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,217000
11436,06/05/2024,Deodorizing,Waxing,Car Wash,,513000
11437,14/07/2024,Car Wash,Underbody Wash,,,667000
11438,08/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,343000
11439,08/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,89000
11440,21/10/2024,Waxing,Polishing,Car Wash,,323000
11441,30/04/2025,Car Wash,Tire Shine,,,282000
11442,02/09/2024,Waxing,Polishing,Car Wash,,462000
11443,30/08/2024,Waxing,Polishing,Car Wash,,274000
11444,11/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,1061000
11445,03/04/2025,Deodorizing,Waxing,Car Wash,,873000
